Board State,Action Probabilities,Player
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0.009546779218169028,0.01125515023615717,0.005828559943724249,0.004220681338558939,0.015073861923424782,0.04120188925736107,0.01808863430810974,0.004220681338558939,0.01969651291327505,0.021605868756908852,0.01497336951060195,0.022610792885137173,0.03758416239573912,0.0299467390212039,0.009948748869460356,0.021605868756908852,0.02130439151844036,0.0526580243191639,0.010250226107928851,0.008742839915586373,0.03065018591096372,0.003818711687267611,0.02240980805949151,0.04210632097276656,0.03105215556225505,0.0299467390212039,0.03728268515727062,0.020500452215857702,0.012963521254145313,0.024821625967239472,0.026429504572404783,0.02472113355441664,0.0051251130539644255,0.02632901215958195,0.006732991659129736,0.0343684051854085,0.007335946136066727,0.0160787860516531,0.022108330821023012,0.02954476936991257,0.026429504572404783,0.010752688172043012,0.0321575721033062,0.011958597125916993,0.016882725354235757,0.006230529595015576,0.015777308813184603,0.02562556526982213,0.019495528087629384",1
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0.011550210003818251,0.012122947689957999,0.004868270332187858,0.005345551737304314,0.011741122565864834,0.029209621993127148,0.021000381825124093,0.017754868270332187,0.021191294387170677,0.007254677357770141,0.020236731576937762,0.029209621993127148,0.023100420007636503,0.020618556701030927,0.005345551737304314,0.01584574264986636,0.015273004963726614,0,0.017373043146239022,0.01718213058419244,0.028064146620847653,0.004868270332187858,0.016227567773959527,0.027109583810614738,0.04448262695685376,0.04868270332187858,0.037037037037037035,0.015654830087819777,0.03178694158075601,0.037800687285223365,0.02004581901489118,0.038946162657502864,0.032359679266895765,0.019473081328751432,0.012122947689957999,0.004486445208094693,0.03264604810996564,0.026250477281405116,0.031596029018709434,0.016227567773959527,0.01718213058419244,0.020236731576937762,0.040378006872852236,0.004868270332187858,0.03188239786177931,0.016800305460099276,0.01718213058419244,0.011932035127911416,0.0074455899198167235",-1
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0.005925642741087642,0.010991111535888368,0.015005256618560642,0.02246009748638058,0.01710790404281755,0.016247730096530633,0.04100162477300965,0.018159227754946,0.031730861129695115,0.01213801013093759,0.04100162477300965,0.008601739462869159,0.006403517155691484,0.020835324476727517,0.007932715282423779,0.019114976584153686,0.01213801013093759,0,0.02121762400841059,0.03182643601261589,0.014814106852719106,0.016630029628213704,0.028768039759151296,0.027047691866577465,0.015291981267322948,0,0.011277836184650674,0.005352193443563032,0.011755710599254517,0.023224696549746727,0.05562458185988722,0.02475389467647902,0.02418044537895441,0.0290547644079136,0.025518493739845168,0.04100162477300965,0.05189716142597725,0.018350377520787536,0.04520691962152346,0.026474242569052852,0.02599636815444901,0.006212367389849947,0.02303354678390519,0.026283092803211314,0.026474242569052852,0.014240657555194495,0.0025805218388607475,0.008123865048265316,0.010991111535888368",1
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0.015375854214123007,0.01044039483675019,0.0180334092634776,0.01585041761579347,0.014616552771450266,0.03720577069096431,0.0244874715261959,0.009491268033409264,0.019267274107820805,0.049449506454062264,0.02667046317388003,0.03834472285497342,0.025911161731207288,0.020121488230827638,0.014616552771450266,0.01442672741078208,0.019646924829157177,0,0.01945709946848899,0.02629081245254366,0.022873955960516324,0.021070615034168565,0.009111617312072893,0.02268413059984814,0.03929384965831435,0,0.011009870918754746,0.03312452543659833,0.032365223993925586,0.014996203492786636,0,0.019646924829157177,0.01660971905846621,0.024677296886864084,0.03018223234624146,0.012338648443432042,0.015186028853454821,0.03625664388762339,0.015375854214123007,0.02154517843583903,0.027999240698557328,0.009776006074411541,0.029422930903568716,0.025721336370539104,0.022873955960516324,0.025246772968868642,0.009965831435079727,0.011009870918754746,0.019931662870159454",-1
"0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0.02663230240549828,0.011072928598701794,0.02071401298205422,0.017754868270332187,0.03025964108438335,0.02357770141275296,0.023864070255822833,0.013554791905307369,0.006013745704467354,0,0.04753722794959908,0.050400916380297825,0.021573119511263842,0.014700267277586864,0.01632302405498282,0.003436426116838488,0.004486445208094693,0,0.021191294387170677,0.03073692248949981,0.009163802978235968,0.023100420007636503,0.012504772814051164,0.029591447117220313,0.09717449408171058,0,0.01718213058419244,0.003150057273768614,0.01575028636884307,0.021859488354333715,0,0.015273004963726614,0.006491027109583811,0.006968308514700267,0.014127529591447117,0.009163802978235968,0.032359679266895765,0.09860633829705995,0.031309660175639555,0.021286750668193966,0.016132111492936235,0.01498663612065674,0.019568537609774724,0.01632302405498282,0.024245895379915998,0.007731958762886598,0.01842306223749523,0.019282168766704848,0.014413898434516991",1
"0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0","0.016835016835016835,0.03530803530803531,0.009100009100009101,0.03266903266903267,0.04904904904904905,0.016653016653016654,0.03858403858403858,0.005733005733005733,0.01901901901901902,0,0.05851305851305851,0.04522704522704523,0.016016016016016016,0.03239603239603239,0.006916006916006916,0.02366002366002366,0.02912002912002912,0,0.01729001729001729,0.02074802074802075,0.012012012012012012,0.008827008827008827,0.018564018564018563,0.10583310583310583,0.055874055874055875,0,0.010192010192010192,0.02011102011102011,0.02002002002002002,0.007189007189007189,0,0.007917007917007918,0.037765037765037764,0.018837018837018837,0.02265902265902266,0.017927017927017928,0.010647010647010647,0,0.027482027482027483,0.011375011375011375,0.00546000546000546,0.006188006188006188,0.023023023023023025,0.008099008099008098,0.01901901901901902,0.012922012922012923,0.008827008827008827,0.018564018564018563,0.01183001183001183",-1
"0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0","0.0022482014388489208,0.009442446043165468,0.01753597122302158,0.01025179856115108,0.01025179856115108,0.011780575539568345,0.014298561151079137,0.010701438848920863,0.020593525179856114,0,0.016726618705035973,0.020053956834532375,0.009262589928057554,0.012410071942446043,0.013219424460431655,0.011330935251798561,0.018974820143884893,0,0.02185251798561151,0.007194244604316547,0.01025179856115108,0.009442446043165468,0.008183453237410073,0,0.5303057553956835,0,0.017266187050359712,0.01052158273381295,0.014298561151079137,0.011870503597122302,0,0.01025179856115108,0.011870503597122302,0.005665467625899281,0.008723021582733814,0.01106115107913669,0.01618705035971223,0,0.009442446043165468,0.009442446043165468,0.0035071942446043163,0.006744604316546762,0.004586330935251798,0.0057553956834532375,0.0018884892086330936,0.019514388489208633,0.009892086330935251,0.004406474820143885,0.01079136690647482",1
"0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,1,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0","0.008640807316304006,0.026048565121412803,0.0141280353200883,0.023714916430148218,0.05953957742037212,0.044402396720277515,0.04534847051403343,0.014380321665089877,0.033554083885209716,0,0.10703248186691895,0.11315042573320719,0.04850204982655314,0.015578681803847368,0.020813623462630087,0.021002838221381267,0.021381267738883634,0,0.02119205298013245,0.011037527593818985,0.012046672973825293,0.026616209397666353,0.008830022075055188,0,0,0,0.016966256701356038,0.01860611794386629,0.011037527593818985,0.013118889940081993,0,0.0174077578051088,0.00391043834752444,0.013308104698833177,0.010343740145064648,0.0174077578051088,0.02119205298013245,0,0.026048565121412803,0.01860611794386629,0.009271523178807948,0.011857458215074109,0.011668243456322927,0.02567013560391044,0.013118889940081993,0.01229895931882687,0.009271523178807948,0.006370230211289814,0.015578681803847368",-1
"0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,1,0,0,0,0,0,-1,1,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0","0.01403896877393006,0.01055049774525653,0.01012507444907683,0.005445418191100145,0.016166085254828554,0.016591508551008254,0.010805751722964349,0.008933889219773675,0.031651493235769594,0,0.5332255594316345,0,0.016166085254828554,0.0136986301369863,0.008848804560537734,0.012082021611503445,0.014889815366289458,0,0.01735727048413171,0.008423381264358036,0.013103037522334724,0.014124053433166,0.007062026716583,0,0,0,0.01420913809240194,0.015315238662469156,0.01114609035990811,0.012337275589211265,0,0.004679656257976687,0.007572534671998639,0.0034033863694375903,0.01761252446183953,0.019824725601973965,0.002552539777078193,0,0.015145069343997277,0.011316259678379988,0.009189143197481493,0.007317280694290819,0.006466434101931422,0.013188122181570663,0.014549476729345699,0.01114609035990811,0.00697694205734706,0.005530502850336084,0.00723219603505488",1
"0,0,0,0,0,0,0,0,0,-1,1,-1,0,0,0,0,0,1,0,0,0,0,0,-1,1,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0","0.013742527885622727,0.01121587477660689,0.015468047082023787,0.10611943057866519,0.12047821532014544,0.010291489492820608,0.02323288346582856,0.020336476243298207,0.016022678252295558,0,0,0,0.02508165403340112,0.014605287483823257,0.02452702286312935,0.026067665002773157,0.01953534233068343,0,0.020336476243298207,0.029950083194675542,0.01294139397300795,0.01928883958834042,0.028655943797374746,0,0,0,0.02760830714241696,0.020089973500955198,0.02243174955321378,0.01177050594687866,0,0.01349602514327972,0.014913415911752019,0.024034017378443333,0.020336476243298207,0.01978184507302644,0.011462377518949898,0,0.028655943797374746,0.01294139397300795,0.009120601466691317,0.02323288346582856,0.029457077709989524,0.052196955691132065,0.04689714673075738,0.01978184507302644,0.01177050594687866,0.014605287483823257,0.007518333641461762",-1
"0,0,0,0,-1,0,0,0,0,-1,1,-1,0,0,0,0,0,1,0,0,0,0,0,-1,1,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0","0.0034407519301779123,0.007385028533064787,0.002014098690835851,0.7791205102383351,0,0.005119167505874454,0.005958375293722726,0.0005035246727089627,0.010574018126888218,0,0,0,0.003272910372608258,0.00730110775427996,0.008979523329976502,0.008308157099697885,0.010238335011748909,0,0.011916750587445452,0.0034407519301779123,0.004196038939241357,0.005706612957368244,0.007972473984558576,0,0,0,0.0049513259483048005,0.004699563611950319,0.004531722054380665,0.007217186975495133,0,0.0022658610271903325,0.007720711648204095,0.004699563611950319,0.005958375293722726,0.008392077878482713,0.004112118160456529,0,0.010406176569318564,0.0055387713997985906,0.007636790869419268,0.004196038939241357,0.002433702584759987,0.0034407519301779123,0.005958375293722726,0.0068815038603558245,0.004028197381671702,0.006377979187646861,0.0031050688150386038",1
"0,0,0,1,-1,0,0,0,0,-1,1,-1,0,0,0,0,0,1,0,0,0,0,0,-1,1,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0","0.01969240361633586,0.022394263743115452,0.01969240361633586,0,0,0.022394263743115452,0.02104333367972566,0.021926634105788215,0.017821885067026914,0,0,0,0.01589940766912605,0.01589940766912605,0.013405382936714122,0.017354255429699678,0.024992206172711213,0,0.01688662579237244,0.02145900446846098,0.01969240361633586,0.017821885067026914,0.014444559908552427,0,0,0,0.020108074405071185,0.023693234957913333,0.020108074405071185,0.023693234957913333,0,0.026187259690325263,0.018757144341681388,0.022809934531850776,0.016418996155045204,0.024108905746648653,0.028421490179777617,0,0.03626727631715681,0.023277564169178012,0.026291177387509093,0.016418996155045204,0.03907305414112023,0.0926426270393848,0.1165436973916658,0.028837160968512937,0.024576535383975893,0.02925283175724826,0.01969240361633586",-1
"0,0,0,1,-1,0,0,0,0,-1,1,-1,0,0,0,0,0,1,0,0,0,0,0,-1,1,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0","0.012207111256758971,0.01122398820252335,0.011551695887268556,0,0,0.016303457316074063,0.005652957561854826,0.003686711453383582,0.010240865148287728,0,0,0,0.015484188104211044,0.010978207438964443,0.014173357365230215,0.01081435359659184,0.006636080616090448,0,0.014746845813534328,0.015484188104211044,0.015402261183024742,0.008684253645747993,0.012043257414386367,0,0,0,0.015074553498279535,0.014582991971161724,0.009093888251679502,0.007455349827953465,0,0.014173357365230215,0.011305915123709652,0.012944453547435687,0.015484188104211044,0.02515156480419466,0.03203342618384401,0,0.04850073734229068,0.012698672783876782,0.005325249877109618,0.0135179419957398,0.045715222021956416,0.4493691627068655,0,0.022939537932164508,0.025069637883008356,0.01032279206947403,0.013927576601671309",1
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0.004622650989850267,0.01969651291327505,0.01065219575922018,0.01236056677720832,0.01065219575922018,0.020299467390212038,0.046025525072856996,0.02311325494925133,0.024620641141593808,0.021806853582554516,0.028238368003215757,0.038287609285498944,0.040498442367601244,0.02251030047231434,0.00160787860516531,0.02572605768264496,0.030248216259672396,0.07054567380162798,0.02291227012360567,0.019997990151743545,0.015073861923424782,0.016681740528590092,0.022108330821023012,0.03637825344186514,0.017887649482464074,0.03225806451612903,0.012059089538739826,0.009446286805346196,0.018993066023515224,0.01718420259270425,0.02632901215958195,0.025022610792885137,0.013666968143905136,0.009345794392523364,0.010350718520751683,0.008240377851472214,0.03497135966234549,0.013867952969550798,0.009948748869460356,0.010350718520751683,0.015777308813184603,0.007737915787358054,0.0390915485880816,0.011154657823334338,0.02683147422369611,0.011355642648980003,0.010853180584865842,0.014872877097779118,0.007737915787358054",-1
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0.009949314811338464,0.011169513797634692,0.019804768162192603,0.007978224141167637,0.025530317251736438,0.022620611976722358,0.06861272761404168,0.0062887178524497845,0.021869720292847755,0.015393279519429322,0.010324760653275766,0.03641824666791815,0.026281208935611037,0.025530317251736438,0.017270508729115824,0.02224516613478506,0.028064576684813217,0,0.03566735498404355,0.017458231650084477,0.027876853763844564,0.028440022526750517,0.028252299605781867,0.012859020086352544,0.04026656654777548,0.030974281959827293,0.03425943307677867,0.019617045241223954,0.022996057818659658,0.011920405481509293,0.017645954571053127,0.010137037732307114,0.015956448282335275,0.021869720292847755,0.012671297165383894,0.020555659846067206,0.018772292096865026,0.008916838746010888,0.012201989862962268,0.011920405481509293,0.019617045241223954,0.02224516613478506,0.029190914210625116,0.021494274450910456,0.010137037732307114,0.014736249296039046,0.013422188849258495,0.022432889055753708,0.010137037732307114",1
