Board State,Action Probabilities,Player
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0.010225563909774436,0.013433583959899749,0.016140350877192983,0.03769423558897243,0.08681704260651629,0.035288220551378445,0.0293734335839599,0.07007518796992482,0.08050125313283207,0.038997493734335836,0.022957393483709274,0.050025062656641604,0.04802005012531328,0.032882205513784464,0.03418546365914787,0.029072681704260653,0.08340852130325814,0.11528822055137844,0.018646616541353384,0.01243107769423559,0.04180451127819549,0.035789473684210524,0.029674185463659148,0.02025062656641604,0.007017543859649123",-1
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0","0.01896458745281323,0.009976631314039187,0.02759302534603631,0.03280603990652525,0.0502426748157469,0.0257954341182815,0.028401941398525976,0.013931332015099766,0.027772784468811793,0.01474024806758943,0.025975193241056984,0.03163760560848463,0.017706273593384864,0.013481934208161064,0.01258313859428366,0.08197015998561927,0.3824375337048355,0,0.01492000719036491,0.01258313859428366,0.07325184253100844,0.024716879381628618,0.017256875786446163,0.021840733417220926,0.019413985259751933",1
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0","0.012366498032602586,0.021852164137155704,0.016160764474423835,0.03316469926925239,0.08501967397414277,0.01967397414277684,0.027894884766722878,0.07145868465430016,0.07047498594716133,0.036888701517706575,0.006253513209668353,0.08129567172568859,0.214938167509837,0.026630129286115797,0.020587408656548623,0.017776840921866217,0,0,0.03576447442383361,0.02452220348510399,0.05269814502529511,0.08066329398538505,0.018409218662169758,0.005831928049465992,0.01967397414277684",-1
"0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,-1,0,0,0,0,0,0,0","0.008974457313799186,0.008974457313799186,0.014343790749405538,0.004832400092045716,0.023318248063204726,0.008974457313799186,0.0183324384444274,0.020096648001840915,0.004065352458387666,0.017258571757306128,0.024392114750325995,0.7571527191838613,0,0.0029147810079005907,0.004448876275216691,0.006596609649459231,0,0,0.007440362046483086,0.006750019176190842,0.02999156247602976,0.014343790749405538,0.008130704916775332,0.005369333435606351,0.0032983048247296155",1
"0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,-1,0,0,0,0,0,0,0","0.024785894206549117,0.06866498740554156,0.03143576826196474,0.0582367758186398,0.08312342569269521,0.03214105793450882,0.12065491183879093,0.12327455919395466,0.051738035264483624,0.011889168765743073,0.048261964735516374,0,0,0.06609571788413099,0.03324937027707808,0.014760705289672544,0,0,0.040654911838790934,0.011486146095717884,0.04211586901763224,0.048413098236775816,0.023123425692695213,0.019848866498740556,0.04604534005037783",-1
"0,0,0,0,0,0,0,-1,0,0,0,1,-1,0,0,0,1,-1,0,0,0,0,0,0,0","0.007242295002816448,0.00764464472519514,0.0025750382232236258,0.003379737667981009,0.004586786835117084,0.0024140983342721494,0.8969180011265793,0,0.0027359781121751026,0.011748611893457793,0.0012070491671360747,0,0,0.009414983503661382,0.0032187977790295325,0.0028969180011265794,0,0,0.0056328961133016815,0.010702502615273196,0.013277540838496821,0.006518065502534804,0.0010461092781845981,0.00474772672406856,0.0020922185563691962",1
"0,0,0,0,0,0,1,-1,0,0,0,1,-1,0,0,0,1,-1,0,0,0,0,0,0,0","0.09868888152600937,0.10910209684290245,0.08974298291286031,0.01831779239835282,0.023477067259904387,0.1027121692620817,0,0,0.05963932408766034,0.07062053296729304,0.04023287736072324,0,0,0.030340322809674823,0.032612297060633316,0.03138164434136413,0,0,0.06744923557533014,0.04851611681734274,0.043782837127845885,0.04922610877076727,0.019406446726937095,0.03289629384200313,0.03185497231031382",-1
"0,-1,0,0,0,0,1,-1,0,0,0,1,-1,0,0,0,1,-1,0,0,0,0,0,0,0","0.009685032961666803,0,0.9191828762106291,0.003255473264425816,0.0039879547489216245,0.0021160576218767803,0,0,0.006836493855294213,0.003255473264425816,0.002441604948319362,0,0,0.00406934158053227,0.0039879547489216245,0.002441604948319362,0,0,0.002604378611540653,0.0043948889069748516,0.007894522666232603,0.011556930088711646,0.0038251810857003335,0.0033368600960364614,0.00512737039147066",1
"0,-1,1,0,0,0,1,-1,0,0,0,1,-1,0,0,0,1,-1,0,0,0,0,0,0,0","0.06072284626592095,0,0,0.06476476946938008,0.06114583822907365,0.05950086948347982,0,0,0.05827889270103868,0.06034685340978521,0.06034685340978521,0,0,0.05498895520985101,0.05461296235371528,0.05950086948347982,0,0,0.05827889270103868,0.06156883019222635,0.052920994501104476,0.04920806504676411,0.06194482304836208,0.05912487662734408,0.06274380786765052",-1
"0,-1,1,-1,0,0,1,-1,0,0,0,1,-1,0,0,0,1,-1,0,0,0,0,0,0,0","0.006248899841577187,0,0,0,0.005544798450976941,0.0038725576483013553,0,0,0.0053687731033268795,0.009153318077803204,0.009153318077803204,0,0,0.007217039253652526,0.0033444816053511705,0.003432494279176201,0,0,0.004576659038901602,0.0053687731033268795,0.4611864108431614,0.46127442351698644,0.0063369125154022175,0.003960570322126386,0.003960570322126386",1
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0.014235588972431077,0.029072681704260653,0.017543859649122806,0.012030075187969926,0.08511278195488722,0.011027568922305764,0.0380952380952381,0.011829573934837093,0.09634085213032581,0.026466165413533835,0.006516290726817042,0.09203007518796992,0.0856140350877193,0.05794486215538847,0.04030075187969925,0.01974937343358396,0.08280701754385965,0.05944862155388471,0.037894736842105266,0.02055137844611529,0.05473684210526316,0.01804511278195489,0.03298245614035088,0.02155388471177945,0.028070175438596492",1
"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0.033647252445826094,0.02075523452500686,0.014994971198683368,0.08009509006125995,0.060071317545944955,0.02203529304196763,0.019018012251988663,0.013806345432934077,0,0.007954649355399104,0.027886989119502607,0.03895035201609216,0.12242845387217702,0.07945506080277956,0.04580780835695346,0.025144006583158088,0.0650086861113651,0.060711346804425345,0.0643686568528847,0.02075523452500686,0.059888452043521986,0.06144280881411722,0.03300722318734571,0.009874737130840267,0.012892017920819237",-1
"0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0","0.009544008483563097,0.006451042771297278,0.013255567338282079,0.0069812654648285614,0.018204312477907388,0.009544008483563097,0.012725344644750796,0.010427712972781902,0,0.027836691410392366,0.016083421703782255,0.019441498762813716,0,0.5919936373276776,0.03614351360904913,0.0331389183457052,0.035171438670908446,0.03031106398020502,0.022622834924001415,0.009809119830328738,0.03693884764934606,0.017497348886532343,0.008925415341109933,0.01016260162601626,0.0167903852951573",1
"0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0","0.017689032799664207,0.013251783893985729,0.05264735863764466,0.11380943814834803,0.09456137194939138,0.018708400791509264,0.013491635186184566,0.03513821430712958,0,0.012232415902140673,0.018888289260658393,0.031780296216345864,0,0,0.01906817772980752,0.022965761228038617,0.04641122504047491,0.10853270971997361,0.1311986568327637,0.0405348683816034,0.06511962583198418,0.06691851052347544,0.02260598428974036,0.030461114109252264,0.02398512921988367",-1
"0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0,0,-1,0,0,0,0,0,0","0.005013561272293909,0.008054573847291855,0.01167091312566779,0.010766828306073806,0.011342155009451797,0.003945097394591929,0.004520424097969919,0.013396893235801758,0,0.005013561272293909,0.0076436262020218625,0.007561436672967864,0,0,0.007314868085805868,0.014300978055395742,0.005177940330401907,0.8435111366811868,0,0.0035341497493219364,0.003698528807429933,0.01610914769458371,0.011013396893235801,0.0035341497493219364,0.0028766335168899483",1
"0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0,1,-1,0,0,0,0,0,0","0.023711900410018277,0.031072469495628117,0.03052907177789853,0.1085313441683545,0.10052857777997333,0.025638492318332262,0.04075482882971892,0.05937855061008744,0,0.016697129872054538,0.03512325248233957,0.03601244874771526,0,0,0.037840241070987504,0.051672182976831495,0.05587116534110557,0,0,0.04569480808180606,0.09099441782344514,0.07409968878130711,0.08417724645556489,0.02796028256681322,0.023711900410018277",-1
"0,0,0,-1,0,0,0,0,1,0,0,0,-1,1,0,0,0,1,-1,0,0,0,0,0,0","0.014534406306454261,0.00788306782722943,0.012809985219247824,0,0.8509607488914436,0.004352110362949581,0.012563639349646905,0.011988832320578091,0,0.0056659550008211525,0.008293644276564297,0.006651338479224831,0,0,0.0019707669568073574,0.0068155690589587785,0.011085564132041386,0,0,0.008211528986697324,0.014698636886188209,0.0047626868122844475,0.009032681885367055,0.006076531450156019,0.0016423057973394646",1
"0,0,0,-1,1,0,0,0,1,0,0,0,-1,1,0,0,0,1,-1,0,0,0,0,0,0","0.03951830916687147,0.0486606045711477,0.04482673875645122,0,0,0.04290980584910297,0.03760137625952322,0.04000983042516589,0,0.04148439420004915,0.03946915704104202,0.04767756205455886,0,0,0.06247235192922094,0.06561808798230523,0.05883509461784222,0,0,0.06379945932661588,0.07495699188989924,0.09540427623494716,0.08503317768493487,0.05564020643892848,0.05608257557139346",-1
"0,0,0,-1,1,0,0,0,1,0,0,0,-1,1,0,0,0,1,-1,0,0,-1,0,0,0","0.0036061724253606173,0.005535055350553505,0.004277088225427709,0,0,0.00897349882589735,0.004864139550486414,0.005954377725595438,0,0.00637370010063737,0.00872190540087219,0.01107011070110701,0,0,0.00519959745051996,0.0037739013753773903,0.009979872525997987,0,0,0.006289835625628983,0.036648775578664874,0,0.8661522978866152,0.005451190875545119,0.007128480375712848",1
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0.015639097744360904,0.026967418546365914,0.00862155388471178,0.034085213032581455,0.06506265664160402,0.012932330827067668,0.058045112781954886,0.0481203007518797,0.09864661654135339,0.05473684210526316,0.0031077694235588974,0.03869674185463659,0.08972431077694236,0.08030075187969925,0.017343358395989977,0.04150375939849624,0.03849624060150376,0.04621553884711779,0.02636591478696742,0.0324812030075188,0.10716791979949875,0.017343358395989977,0.01944862155388471,0.007919799498746867,0.011027568922305764",-1
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0","0.01955636034404708,0.018469895880488908,0.022634676324128564,0.024083295608872794,0.11281122679945677,0.01937528293345405,0.030511543684925306,0.046174739701222274,0.14748755092802174,0.058306926210955186,0.025622453598913537,0.03576278859212313,0.045812584880036214,0.024354911724762337,0.022363060208239024,0.009597102761430512,0.08057944771389769,0.06075147125396107,0.04309642372114079,0.016478044363965594,0,0.05359891353553644,0.022181982797645994,0.05033952014486193,0.010049796287913082",1
"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0","0.014561433741168361,0.013527485783215578,0.013527485783215578,0.04463208685162847,0.044890573841116665,0.016629329657073928,0.005169739789763915,0.012062726176115802,0,0.019128037222126488,0.019128037222126488,0.015336894709632948,0.03532655523005342,0.14733758400827157,0.08461140789246942,0.012665862484921592,0.05023263829053937,0.097708082026538,0.13208685162846803,0.02059279682922626,0,0.09512321213165605,0.044804411511287265,0.043684301223505084,0.01723246596587972",-1
"0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0","0.01591375770020534,0.011293634496919919,0.019678302532511977,0.02523956194387406,0.059291581108829566,0.02737850787132101,0.02147501711156742,0.027121834360027377,0,0.07306639288158795,0.02335728952772074,0.02190280629705681,0.2632614647501711,0,0.04286447638603696,0.00838466803559206,0.08684120465434633,0.07879876796714579,0.01591375770020534,0.014972621492128678,0,0.05783709787816564,0.061344969199178645,0.02147501711156742,0.022587268993839837",1
"0,0,0,0,0,0,0,0,1,0,0,0,1,-1,0,0,0,0,0,0,-1,0,0,0,0","0.00742953431372549,0.003829656862745098,0.014169730392156863,0.002144607843137255,0.021292892156862746,0.0062040441176470585,0.0055147058823529415,0.004518995098039216,0,0.0031403186274509805,0.010033700980392158,0.00666360294117647,0,0,0.013556985294117647,0.005438112745098039,0.018152573529411766,0.7926623774509803,0.007735906862745098,0.005667892156862745,0,0.04342830882352941,0.016467524509803922,0.004518995098039216,0.00742953431372549",-1
"0,0,0,0,0,0,0,0,1,0,0,0,1,-1,0,0,0,-1,0,0,-1,0,0,0,0","0.025972748290619314,0.022676963943135422,0.037040680800826405,0.041910571105317526,0.04437011166314132,0.034236804564907276,0.03079344778395396,0.03536819322150622,0,0.15470510108711694,0.031186974273205766,0.022283437453883614,0,0,0.17487333366127208,0.013576663879187368,0.037630970534704114,0,0.08342761572138324,0.06124255988981258,0,0.04363224949579419,0.02307049043238723,0.04323872300654238,0.03876235919130307",1
"0,0,0,0,0,0,0,0,1,0,0,0,1,-1,1,0,0,-1,0,0,-1,0,0,0,0","0.0014036643026004729,0.008348108747044917,0.0030289598108747045,0.010786052009456265,0.004802009456264775,0.008052600472813238,0.00960401891252955,0.0035460992907801418,0,0.8438238770685579,0.004802009456264775,0.011155437352245863,0,0,0,0.0035460992907801418,0.01145094562647754,0,0.00591016548463357,0.003324468085106383,0,0.053930260047281325,0.0062056737588652485,0.0008865248226950354,0.005393026004728132",-1
"0,0,0,0,0,0,0,0,1,-1,0,0,1,-1,1,0,0,-1,0,0,-1,0,0,0,0","0.0549430013081667,0.056111007288357315,0.05723229302934031,0.055783965613903946,0.056111007288357315,0.0541954774808447,0.0549430013081667,0.056111007288357315,0,0,0.0583535787703233,0.056111007288357315,0,0,0,0.0549430013081667,0.053074191739861706,0,0.056484769202018316,0.056111007288357315,0,0.05344795365352271,0.056484769202018316,0.05344795365352271,0.056111007288357315",1
"0,0,0,0,0,0,0,0,1,-1,1,0,1,-1,1,0,0,-1,0,0,-1,0,0,0,0","0.0032941595441595443,0.00819088319088319,0.005252849002849003,0.005608974358974359,0.008636039886039885,0.009526353276353277,0.006944444444444444,0.007656695156695157,0,0,0,0.004896723646723646,0,0,0,0.009437321937321937,0.4420405982905983,0,0.006321225071225072,0.013888888888888888,0,0.4420405982905983,0.008547008547008548,0.010505698005698005,0.007211538461538462",-1
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0.008220551378446116,0.008421052631578947,0.036591478696741855,0.012230576441102757,0.0862155388471178,0.02245614035087719,0.044010025062656645,0.02666666666666667,0.08461152882205514,0.02155388471177945,0.037092731829573934,0.07839598997493734,0.020350877192982456,0.0761904761904762,0.03298245614035088,0.02957393483709273,0.11659147869674186,0.07137844611528822,0.04802005012531328,0.015739348370927317,0.04150375939849624,0.029273182957393482,0.014035087719298246,0.017042606516290727,0.020852130325814535",-1
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0","0.024239159709130084,0.012119579854565042,0.029805188975671065,0.06903671783822606,0.03447347158631834,0.008349043899811474,0.03573031690456953,0.010234311877188257,0.05503187000628423,0.03815423287548254,0.012119579854565042,0.013915073166352456,0.11500134661998385,0.0238800610467726,0.044618008797917226,0.031062034293922257,0,0.19490079899452376,0.03860310620342939,0.02621420235209624,0.03860310620342939,0.04856809408384954,0.036358739563695126,0.02100727174791274,0.0379746835443038",1
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0","0.009878169245966415,0.024613105037866314,0.018850839644385907,0.03407968389858413,0.07416858742179783,0.00675008231807705,0.019509384260783667,0.03523213697728021,0.03901876852156733,0.024448468883766877,0.026341784655910437,0.038113269674020414,0.4488804741521238,0.03473822851498189,0.010536713862364174,0.024366150806717154,0,0,0.019509384260783667,0.019509384260783667,0.021896608495225553,0.02090879157062891,0.03663154428712545,0.008067171550872571,0.003951267698386566",-1
"0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,1,0,0,0,0,0,0,0","0.014969865854448837,0.025533017950878104,0.007841358304711296,0.02715313330309118,0.09921586416952886,0.019441384226556932,0.024301730283196165,0.019765407296999545,0.07011859244378199,0.06201801568271661,0.025014581038169916,0.024496144125461732,0,0.22811224159160132,0.04944592054954313,0.14088523102844921,0,0,0.029615708638455057,0.0162659581362193,0.06273086643769037,0.0061564383384096946,0.008813427516039142,0.018534119629317607,0.019570993454733978",1
"0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,-1,1,0,0,0,0,0,0,0","0.005333728424327728,0.009852581672716498,0.005111489739980739,0.009185865619675531,0.017556856063412105,0.008963626935328543,0.006148603600266686,0.002000148159122898,0.8582857989480702,0.004296614564041781,0.004667012371286762,0.004296614564041781,0,0,0.002370545966367879,0.007926513075042595,0,0,0.005333728424327728,0.008519149566634566,0.007333876583450626,0.009037706496777539,0.015112230535595229,0.004889251055633751,0.003778057633898807",-1
"0,0,0,0,0,0,0,0,-1,0,0,0,-1,1,0,0,-1,1,0,0,0,0,0,0,0","0.031948437355095984,0.03621441157377353,0.025642214597050912,0.03245849948993786,0.0425206343318186,0.04618380784568302,0.057080589817305016,0.037466382268385424,0,0.0377909672632848,0.06681813966428637,0.027079662431605304,0,0,0.024158397477510897,0.17017527589724565,0,0,0.026152276731892795,0.029769080960771584,0.18700732634702774,0.029583603820829082,0.03533339515904665,0.03653899656867291,0.020077900398775852",1
